code,name,nature
SZ000422,湖北宜化,波段
SZ002429,兆驰股份,波段
SH600872,中炬高新,波段
SZ002597,金禾实业,波段
SZ000795,英洛华,波段
SH600458,时代新材,波段
SH600515,海南机场,波段
SH603270,金帝股份,波段
SZ300002,神州泰岳,波段
SZ000563,陕国投Ａ,波段
SZ300294,博雅生物,波段
SH603556,海兴电力,波段
SH601059,信达证券,波段
SZ002175,东方智造,波段
SH600132,重庆啤酒,波段
SH601083,锦江航运,波段
SZ300836,佰奥智能,波段
SZ002635,安洁科技,波段
SZ002061,浙江交科,波段
SH600552,凯盛科技,波段
SZ300142,沃森生物,波段
SH600211,西藏药业,波段
SZ000739,普洛药业,波段
SH600267,海正药业,波段
SZ000981,山子高科,波段
SZ000966,长源电力,波段
SH603806,福斯特,波段
SZ002465,海格通信,波段
SZ300492,华图山鼎,波段
SZ000686,东北证券,波段
SZ002966,苏州银行,波段
SZ002051,中工国际,波段
SH601519,大智慧,波段
SZ002925,盈趣科技,波段
SZ002444,巨星科技,波段
SH605376,博迁新材,波段
SH688239,航宇科技,波段
SH600718,东软集团,波段
SZ002572,索菲亚,波段
SH601828,美凯龙,波段
SZ300348,长亮科技,波段
SZ003002,壶化股份,波段
SZ301234,五洲医疗,波段
SH600776,东方通信,波段
SZ301308,江波龙,波段
SZ300207,欣旺达,波段
SZ300415,伊之密,波段
SZ300548,长芯博创,波段
SZ002558,巨人网络,波段
SZ000930,中粮科技,波段
SZ301102,兆讯传媒,波段
SZ002281,光迅科技,波段
SH603179,新泉股份,波段
SZ300260,新莱应材,波段
SZ300223,北京君正,波段
SH601949,中国出版,波段
SZ002334,英威腾,波段
SH600456,宝钛股份,波段
SZ300337,银邦股份,波段
SZ300296,利亚德,波段
SZ000987,越秀资本,波段
SH600143,金发科技,波段
SH601399,国机重装,波段
SZ300765,新诺威,波段
SH603515,欧普照明,波段
SH603345,安井食品,波段
SH688522,纳睿雷达,波段
SZ002423,中粮资本,波段
SZ000998,隆平高科,波段
SZ300115,长盈精密,波段
SH600812,华北制药,波段
SH603088,宁波精达,波段
SH601882,海天精工,波段
SZ002906,华阳集团,波段
SZ301278,快可电子,波段
SH688066,航天宏图,波段
SZ300598,诚迈科技,波段
SZ002036,联创电子,波段
SZ300968,格林精密,波段
SH600848,上海临港,波段
SH600266,城建发展,波段
SZ001309,德明利,波段
SH600648,外高桥,波段
SZ002266,浙富控股,波段
SH603327,福蓉科技,波段
SH603182,嘉华股份,波段
SZ000785,居然智家,波段
SZ000723,美锦能源,波段
SH603882,金域医学,波段
SZ002385,大北农,波段
SZ301355,南王科技,波段
SZ300776,帝尔激光,波段
SZ300564,筑博设计,波段
SZ002705,新宝股份,波段
SH601163,三角轮胎,波段
SZ002075,沙钢股份,波段
SH603693,江苏新能,波段
SH600906,财达证券,波段
SH600399,抚顺特钢,波段
SH601311,骆驼股份,波段
SH600611,大众交通,波段
SZ000927,中国铁物,波段
SZ002400,省广集团,波段
SZ300257,开山股份,波段
SZ002948,青岛银行,波段
SH603728,鸣志电器,波段
SZ002120,韵达股份,波段
SZ002091,江苏国泰,波段
SZ000688,国城矿业,波段
SH600651,飞乐音响,波段
SZ002145,钛能化学,波段
SH688279,峰岹科技,波段
SH600765,中航重机,波段
SH600221,海航控股,波段
SZ300790,宇瞳光学,波段
SZ300607,拓斯达,波段
